country,city,month,attractions,hostelNight,drinks,meals,transport,minTemp,maxTemp,precipitation,currency,currencyCode,arrivals,visitorsCity
Portugal,Lisbon,July,8.78,14.11,9.88,18.44,3.07,17.4,27.4,3,Euro,EUR,15432000,10.67
Portugal,Lisbon,August,8.78,14.11,9.88,18.44,3.07,17.6,27.8,5,Euro,EUR,15432000,10.67
Portugal,Lisbon,September,8.78,14.11,9.88,18.44,3.07,16.9,26.3,23,Euro,EUR,15432000,10.67
Portugal,Lisbon,October,8.78,14.11,9.88,18.44,3.07,14.8,22.6,71,Euro,EUR,15432000,10.67
Portugal,Lisbon,November,8.78,14.11,9.88,18.44,3.07,11.4,17.9,106,Euro,EUR,15432000,10.67
Portugal,Lisbon,December,8.78,14.11,9.88,18.44,3.07,9.3,15,104,Euro,EUR,15432000,10.67
Spain,Barcelona,January,14.27,20.96,9.88,21.07,4.72,6.6,13.1,39,Euro,EUR,81786000,20.6
Spain,Barcelona,February,14.27,20.96,9.88,21.07,4.72,7.4,14.1,36,Euro,EUR,81786000,20.6
Spain,Barcelona,March,14.27,20.96,9.88,21.07,4.72,9,16.1,45,Euro,EUR,81786000,20.6
Spain,Barcelona,April,14.27,20.96,9.88,21.07,4.72,10.7,18.6,48,Euro,EUR,81786000,20.6
Spain,Barcelona,May,14.27,20.96,9.88,21.07,4.72,13.8,21.7,52,Euro,EUR,81786000,20.6
Spain,Barcelona,June,14.27,20.96,9.88,21.07,4.72,17.5,25.3,42,Euro,EUR,81786000,20.6
Spain,Barcelona,July,14.27,20.96,9.88,21.07,4.72,20.3,27.9,25,Euro,EUR,81786000,20.6
Spain,Barcelona,August,14.27,20.96,9.88,21.07,4.72,20.2,27.5,51,Euro,EUR,81786000,20.6
Spain,Barcelona,September,14.27,20.96,9.88,21.07,4.72,18.3,25.1,73,Euro,EUR,81786000,20.6
Spain,Barcelona,October,14.27,20.96,9.88,21.07,4.72,14.4,20.9,93,Euro,EUR,81786000,20.6
Spain,Barcelona,November,14.27,20.96,9.88,21.07,4.72,10.3,16.5,59,Euro,EUR,81786000,20.6
Spain,Barcelona,December,14.27,20.96,9.88,21.07,4.72,7.7,13.7,49,Euro,EUR,81786000,20.6
Spain,Madrid,January,10.97,16.46,6.58,21.07,3.29,1.4,8.6,43,Euro,EUR,81786000,19.2
Spain,Madrid,February,10.97,16.46,6.58,21.07,3.29,1.9,10.9,44,Euro,EUR,81786000,19.2
Spain,Madrid,March,10.97,16.46,6.58,21.07,3.29,4.6,14.7,35,Euro,EUR,81786000,19.2
Spain,Madrid,April,10.97,16.46,6.58,21.07,3.29,6.7,17.8,45,Euro,EUR,81786000,19.2
Spain,Madrid,May,10.97,16.46,6.58,21.07,3.29,10,21.6,44,Euro,EUR,81786000,19.2
Spain,Madrid,June,10.97,16.46,6.58,21.07,3.29,14.1,26.8,28,Euro,EUR,81786000,19.2
Spain,Madrid,July,10.97,16.46,6.58,21.07,3.29,17.3,30.8,11,Euro,EUR,81786000,19.2
Spain,Madrid,August,10.97,16.46,6.58,21.07,3.29,17,29.5,11,Euro,EUR,81786000,19.2
Spain,Madrid,September,10.97,16.46,6.58,21.07,3.29,14.1,25.2,30,Euro,EUR,81786000,19.2
Spain,Madrid,October,10.97,16.46,6.58,21.07,3.29,9.4,18.7,51,Euro,EUR,81786000,19.2
Spain,Madrid,November,10.97,16.46,6.58,21.07,3.29,4.9,12.9,58,Euro,EUR,81786000,19.2
Spain,Madrid,December,10.97,16.46,6.58,21.07,3.29,2,8.9,50,Euro,EUR,81786000,19.2
Sweden,Stockholm,January,15.93,21.77,15.93,22.94,7.65,-4.4,-0.1,39,Swedish Kronor,SEK,7054000,9.3
Sweden,Stockholm,February,15.93,21.77,15.93,22.94,7.65,-4.9,-0.2,28,Swedish Kronor,SEK,7054000,9.3
Sweden,Stockholm,March,15.93,21.77,15.93,22.94,7.65,-2.3,3.3,25,Swedish Kronor,SEK,7054000,9.3
Sweden,Stockholm,April,15.93,21.77,15.93,22.94,7.65,1.2,8.9,30,Swedish Kronor,SEK,7054000,9.3
Sweden,Stockholm,May,15.93,21.77,15.93,22.94,7.65,6.1,15.8,30,Swedish Kronor,SEK,7054000,9.3
Sweden,Stockholm,June,15.93,21.77,15.93,22.94,7.65,11.2,20.6,45,Swedish Kronor,SEK,7054000,9.3
Sweden,Stockholm,July,15.93,21.77,15.93,22.94,7.65,13.6,22.2,66,Swedish Kronor,SEK,7054000,9.3
Sweden,Stockholm,August,15.93,21.77,15.93,22.94,7.65,13,20.8,63,Swedish Kronor,SEK,7054000,9.3
Sweden,Stockholm,September,15.93,21.77,15.93,22.94,7.65,9.2,15.4,54,Swedish Kronor,SEK,7054000,9.3
Sweden,Stockholm,October,15.93,21.77,15.93,22.94,7.65,5.3,10,49,Swedish Kronor,SEK,7054000,9.3
Sweden,Stockholm,November,15.93,21.77,15.93,22.94,7.65,0.8,4.6,52,Swedish Kronor,SEK,7054000,9.3
Sweden,Stockholm,December,15.93,21.77,15.93,22.94,7.65,-2.6,1.5,46,Swedish Kronor,SEK,7054000,9.3
Turkey,Istanbul,January,6.64,7,6.64,8.5,1.77,3,8.5,102,Turkish Iira,TRY,37601000,13.4
Turkey,Istanbul,February,6.64,7,6.64,8.5,1.77,3,8.7,71,Turkish Iira,TRY,37601000,13.4
Turkey,Istanbul,March,6.64,7,6.64,8.5,1.77,3.9,10.7,70,Turkish Iira,TRY,37601000,13.4
Turkey,Istanbul,April,6.64,7,6.64,8.5,1.77,7.5,15.9,51,Turkish Iira,TRY,37601000,13.4
